Value,mode,description
Collision,marine,Impact between a vessel and another vessel while both are underway or maneuvering.
Grounding/stranding,marine,"Vessel makes unintended contact with the seabed, shore, or underwater obstruction and becomes grounded or stranded."
Contact,marine,"Impact between a vessel and a fixed or floating object other than another vessel (for example, wharf, buoy, bridge, or moored structure)."
Fire/explosion,marine,"Onboard fire, combustion event, or explosion involving cargo, fuel, machinery, or accommodation spaces."
Machinery failure,marine,"Failure of propulsion or essential mechanical systems (for example, main engine, gearbox, shafting, or steering machinery)."
Equipment failure,marine,"Failure of onboard equipment not primarily propulsion machinery (for example, navigation, communications, safety, or deck equipment)."
Capsizing/listing,marine,"Vessel develops severe heel/list or overturns, affecting stability and survivability."
Hull failure/failure of watertight openings,marine,"Structural breach of hull or failure of watertight integrity (doors, hatches, seals) allowing uncontrolled water ingress."
Fatality,marine,An occurrence where one or more persons die as a result of marine operations or onboard events.
Serious injury,marine,A marine occurrence resulting in major injury requiring significant medical treatment or hospitalization.
Damage to ship or equipment,marine,Physical damage to the vessel or onboard systems/equipment without necessarily involving total loss. Losing equipment (i.e containers lost overboard) should be included here.
Flooding,marine,"Uncontrolled ingress of water into the vessel, compartments, or critical spaces."
Close quarters,marine,Unsafe proximity between vessels with elevated collision risk requiring immediate avoiding action.
Missing assumed lost,marine,Person(s) or vessel unaccounted for and presumed lost after search or elapsed time.
Pollution,marine,"Release or discharge of pollutants (for example, oil, fuel, chemicals, or cargo contaminants) into the marine environment."
Other,marine,Marine occurrence that does not fit any other listed category.
Foundered,marine,Vessel sinks or is overwhelmed by water and lost from buoyancy/stability failure.
Lifeboat accident,marine,"Occurrence involving launch, recovery, operation, or failure of lifeboats or rescue craft."
Airframe,aviation,"Failure, malfunction, or damage involving aircraft structural components (fuselage, wings, control surfaces, landing gear)."
Powerplant / Propulsion,aviation,"Event involving engine or propulsion system performance, failure, or shutdown."
Systems,aviation,"Failure or malfunction of aircraft onboard systems (electrical, hydraulic, pneumatic, avionics, etc.)."
Aircraft separation,aviation,Loss or reduction of required separation between aircraft in flight or on maneuvering areas.
Airspace infringement,aviation,Unauthorized or incorrect entry into controlled/restricted/prohibited airspace.
ANSP operational error,aviation,"Error by air navigation service personnel (i.e ATC) affecting traffic management, loss of separation or clearances."
Operational non-compliance,aviation,"Breach of operational procedures, rules, SOPs, or approved limitations."
Breakdown of co-ordination,aviation,"Failure of coordination between flight crew, ATC units, operators, or other parties."
Other Airspace,aviation,Airspace-related occurrence not captured by the other specific airspace categories.
Encounter with Remotely Piloted Aircraft,aviation,Aircraft encounter or conflict with a drone/RPAS posing collision or distraction risk.
ATM,aviation,"Air traffic management process/event affecting traffic flow, sequencing, control, or safety margins."
Navaids,aviation,"Issue with navigation aids (for example, ILS, VOR, NDB, GNSS augmentation) affecting navigation guidance."
Radar / Surveillance,aviation,"Failure or degradation of surveillance systems (radar, ADS-B, multilateration) used for separation/control."
Runway lighting,aviation,"Failure, degradation, or misuse of runway or approach lighting systems affecting operations."
Other Infrastructure,aviation,Aerodrome or supporting infrastructure issue not covered by specific infrastructure categories.
Interference with aircraft from ground,aviation,"Ground-based interference affecting aircraft safety (for example, laser illumination, projectile strike, unauthorized signals)."
Weather,aviation,Adverse meteorological conditions materially contributing to the occurrence.
Wildlife,aviation,Bird/wildlife strike or wildlife presence creating risk during flight or ground operations.
Other Environment,aviation,"Environmental factor other than weather/wildlife (for example, smoke, ash, contaminants) affecting safe operation."
Ditching,aviation,Intentional forced landing on water.
Diversion / Return,aviation,Diversion to alternate aerodrome or return to departure due to safety/technical/operational reasons.
Emergency evacuation,aviation,Emergency disembarkation/evacuation using normal or emergency exits.
Emergency / Precautionary descent,aviation,Unplanned descent initiated for immediate safety reasons.
Forced / Precautionary landing,aviation,Landing made as a result of actual or suspected abnormal condition requiring prompt landing.
Fuel dump/burn off,aviation,Intentional fuel jettison or holding to reduce landing weight for operational/safety reasons.
Missed approach / Go-around,aviation,Discontinued approach or rejected landing with climb away from runway environment.
Rejected take-off,aviation,Take-off roll intentionally aborted before liftoff.
Other Consequential Event,aviation,Consequence-event category for operational outcomes not covered elsewhere.
Aircraft control,aviation,"Loss, degradation, or anomaly in control of aircraft attitude, flight path, or handling."
Aircraft loading,aviation,"Weight, balance, or loading configuration issue affecting performance or controllability."
Communications,aviation,"Communication failure, misunderstanding, or loss affecting safe operation."
Crew and Cabin Safety,aviation,"Occurrence involving crew/cabin safety procedures, injury risk, or cabin operations."
"Fire, fumes & smoke",aviation,"Presence of fire, smoke, or fumes in or around the aircraft impacting safety."
Flight preparation / Navigation,aviation,Pre-flight planning or navigation execution issue contributing to the event.
Fuel related,aviation,"Fuel quantity, quality, management, contamination, or supply issue affecting operations. Fuel starvation which cause other events (such as dithcings, forced landings, Terrain collisions etc.) should be included in their respective categories."
Ground operations,aviation,"Occurrence during taxi, pushback, towing, ramp, or apron activities."
Ground proximity alerts / warnings,aviation,Triggered terrain/obstacle proximity alerts or warnings indicating reduced terrain clearance margin.
Miscellaneous,aviation,Aviation occurrence not fitting any other listed category.
Runway events,aviation,"Runway-related occurrence (for example, excursion, incursion, confusion, unstable landing outcome)."
Terrain collisions,aviation,"Collision or impact with terrain, obstacles, or water due to inadequate clearance."
Alcohol or drugs Irregularity,rail,Occurrence where alcohol or drug use/impairment concerns are relevant to rail safety.
Collision,rail,"Impact involving train-to-train, train-to-vehicle, or train-to-object collisions. Use level crossing category for collisions at crossings."
Communications System Failure,rail,Failure or degradation of communications systems critical to safe rail operations.
Dangerous Goods,rail,"Occurrence involving hazardous materials release, exposure, handling issue, or associated risk."
